Country Code,Year,Sex Ratio
SWE,2003,2.1787878787878787
SWZ,2003,2.7151898734177213
SYC,2003,7.0
SYR,2003,4.283333333333333
TCD,2003,3.1370967741935485
TGO,2003,3.130612244897959
THA,2003,2.8755137991779214
TJK,2003,2.4204545454545454
TKM,2003,4.9421487603305785
TLS,2003,2.066666666666667
TON,2003,1.5
TTO,2003,4.25
TUN,2003,2.007751937984496
TUR,2003,3.1508379888268156
TZA,2003,3.0185512367491167
UGA,2003,4.581712062256809
UKR,2003,6.442482611021937
URY,2003,3.2920353982300883
USA,2003,3.7812982998454405
UZB,2003,3.4446280991735536
VCT,2003,7.0
VEN,2003,5.423580786026201
VNM,2003,1.9212637913741224
VUT,2003,4.0
WSM,2003,3.5
YEM,2003,1.6846689895470384
ZAF,2003,3.217944737659112
ZMB,2003,2.939814814814815
ZWE,2003,2.0035335689045937
AFG,2004,1.108910891089109
AGO,2004,4.14797507788162
ALB,2004,2.1702127659574466
ARE,2004,4.625
ARG,2004,3.911976911976912
ARM,2004,2.9655172413793105
ATG,2004,inf
AUS,2004,3.7302798982188294
AUT,2004,3.4609375
AZE,2004,3.775
BDI,2004,2.295673076923077
BEL,2004,2.725910064239829
BEN,2004,3.1620689655172414
BFA,2004,3.009009009009009
BGD,2004,2.8071928071928074
BGR,2004,3.252577319587629
BHR,2004,5.153846153846154
BHS,2004,4.5
BIH,2004,3.563380281690141
BLR,2004,6.031809145129225
BLZ,2004,7.0
BOL,2004,2.199074074074074
BRA,2004,3.5407066052227343
BRB,2004,1.0
BRN,2004,5.0
BTN,2004,2.0
BWA,2004,3.4142011834319526
CAF,2004,3.689516129032258
CAN,2004,2.909307875894988
CHE,2004,2.1353846153846154
CHL,2004,5.684426229508197
CHN,2004,1.3304324648497368
CIV,2004,5.078175895765472
CMR,2004,3.1859052247873634
COD,2004,3.930131004366812
COG,2004,2.38
COL,2004,3.319915254237288
COM,2004,1.85
CPV,2004,5.357142857142857
CRI,2004,6.395833333333333
CUB,2004,3.1171171171171173
CYP,2004,3.5
CZE,2004,4.986666666666666
DEU,2004,3.259990133201776
DJI,2004,2.2758620689655173
DNK,2004,2.2180851063829787
DOM,2004,4.415730337078652
DZA,2004,1.767094017094017
ECU,2004,2.487935656836461
EGY,2004,1.8776150627615062
ESP,2004,3.1348148148148147
EST,2004,5.038461538461538
ETH,2004,2.2203527815468114
FIN,2004,3.2695652173913046
FJI,2004,1.9642857142857142
FRA,2004,2.613263785394933
FSM,2004,3.8333333333333335
GAB,2004,4.2926829268292686
GBR,2004,3.0354147250698973
GEO,2004,4.3061224489795915
GHA,2004,6.85459940652819
GIN,2004,1.966360856269113
GMB,2004,2.1818181818181817
GNB,2004,3.017857142857143
GNQ,2004,3.5
GRC,2004,4.46
GRD,2004,inf
GTM,2004,5.257731958762887
GUY,2004,3.683333333333333
HND,2004,4.113636363636363
HRV,2004,3.128834355828221
HTI,2004,1.3311546840958606
HUN,2004,3.7494646680942183
IDN,2004,2.90763854218672
IND,2004,1.488981288981289
IRL,2004,4.986666666666666
IRN,2004,1.7875549968573223
IRQ,2004,2.400990099009901
ISL,2004,2.4
ISR,2004,3.688888888888889
ITA,2004,3.2247191011235956
JAM,2004,3.272727272727273
JOR,2004,1.9298245614035088
JPN,2004,2.7450415866922584
KAZ,2004,5.472491909385114
KEN,2004,3.490713587487781
KGZ,2004,4.935483870967742
KHM,2004,1.9932432432432432
KIR,2004,5.0
KWT,2004,3.9166666666666665
LAO,2004,1.80625
LBN,2004,1.8297872340425532
LBR,2004,1.3391304347826087
LBY,2004,2.7083333333333335
LCA,2004,11.0
LKA,2004,3.6153028692879916
LSO,2004,4.251336898395722
LTU,2004,4.797297297297297
LUX,2004,3.7
LVA,2004,5.109756097560975
MAR,2004,1.756876663708962
MDA,2004,5.402597402597403
MDG,2004,2.47246891651865
MDV,2004,5.0
MEX,2004,5.065595716198126
MKD,2004,2.4210526315789473
MLI,2004,1.5779376498800959
MLT,2004,3.0
MMR,2004,2.8106312292358804
MNE,2004,2.8333333333333335
MNG,2004,4.392857142857143
MOZ,2004,4.206053550640279
MRT,2004,1.7272727272727273
MUS,2004,3.3043478260869565
MWI,2004,4.328804347826087
MYS,2004,3.261627906976744
NAM,2004,4.790123456790123
NER,2004,1.9954022988505746
NGA,2004,2.6657101865136297
NIC,2004,3.9178082191780823
NLD,2004,2.218978102189781
NOR,2004,2.0568181818181817
NPL,2004,6.368115942028986
NZL,2004,3.226890756302521
OMN,2004,6.7368421052631575
PAK,2004,2.925586592178771
PAN,2004,5.25
PER,2004,2.3041825095057034
